"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"JAM00047772","OSAKA, JA","2024-01-01","0.02","44",,
"JAM00047772","OSAKA, JA","2024-01-02","0.00","45",,"36"
"JAM00047772","OSAKA, JA","2024-01-03","0.00","49",,"40"
"JAM00047772","OSAKA, JA","2024-01-04","0.02","45",,
"JAM00047772","OSAKA, JA","2024-01-05","0.00","47",,"37"
"JAM00047772","OSAKA, JA","2024-01-06","0.00","50",,"40"
"JAM00047772","OSAKA, JA","2024-01-07","0.02","42",,
"JAM00047772","OSAKA, JA","2024-01-08","0.00","40",,"34"
"JAM00047772","OSAKA, JA","2024-01-09","0.00","44",,"34"
"JAM00047772","OSAKA, JA","2024-01-10","0.00","44",,"38"
"JAM00047772","OSAKA, JA","2024-01-11","0.00","44",,
"JAM00047772","OSAKA, JA","2024-01-12","0.00","49",,"37"
"JAM00047772","OSAKA, JA","2024-01-13","0.00","42","54",
"JAM00047772","OSAKA, JA","2024-01-14","0.00","45",,"34"
"JAM00047772","OSAKA, JA","2024-01-15","0.00","42",,
"JAM00047772","OSAKA, JA","2024-01-16","0.00","40",,
"JAM00047772","OSAKA, JA","2024-01-17","0.00","47",,"34"
"JAM00047772","OSAKA, JA","2024-01-18","0.00","48",,"45"
"JAM00047772","OSAKA, JA","2024-01-19","0.20","48",,
"JAM00047772","OSAKA, JA","2024-01-20","0.20","51",,"42"
"JAM00047772","OSAKA, JA","2024-01-21","0.37","50",,
"JAM00047772","OSAKA, JA","2024-01-22","0.02","48",,
"JAM00047772","OSAKA, JA","2024-01-23","0.00","38",,
"JAM00047772","OSAKA, JA","2024-01-24","0.00","36",,"33"
"JAM00047772","OSAKA, JA","2024-01-25","0.00","40",,"32"
"JAM00047772","OSAKA, JA","2024-01-26","0.00","42",,"38"
"JAM00047772","OSAKA, JA","2024-01-27","0.00","43",,
"JAM00047772","OSAKA, JA","2024-01-28","0.00","43",,"37"
"JAM00047772","OSAKA, JA","2024-01-29","0.00","44",,
"JAM00047772","OSAKA, JA","2024-01-30","0.00","47",,"36"
"JAM00047772","OSAKA, JA","2024-01-31","0.00","49",,"44"
"JAM00047772","OSAKA, JA","2024-02-01","0.22","44",,
"JAM00047772","OSAKA, JA","2024-02-02","0.00","42",,"37"
"JAM00047772","OSAKA, JA","2024-02-03","0.00","43",,
"JAM00047772","OSAKA, JA","2024-02-04","0.14","45",,"38"
"JAM00047772","OSAKA, JA","2024-02-05","0.10","42",,
"JAM00047772","OSAKA, JA","2024-02-06","0.43","43",,
"JAM00047772","OSAKA, JA","2024-02-07","0.00","43",,"36"
"JAM00047772","OSAKA, JA","2024-02-08","0.00","44",,"37"
"JAM00047772","OSAKA, JA","2024-02-09","0.00","44",,
"JAM00047772","OSAKA, JA","2024-02-10","0.00","45",,"36"
"JAM00047772","OSAKA, JA","2024-02-11","0.00","44",,"39"
"JAM00047772","OSAKA, JA","2024-02-12","0.02","45","54",
"JAM00047772","OSAKA, JA","2024-02-13","0.00","51",,"37"
"JAM00047772","OSAKA, JA","2024-02-14","0.00","57",,"43"
"JAM00047772","OSAKA, JA","2024-02-15","0.00","57",,
"JAM00047772","OSAKA, JA","2024-02-16","0.39","43",,
"JAM00047772","OSAKA, JA","2024-02-17","0.00","53",,"38"
"JAM00047772","OSAKA, JA","2024-02-18","0.00","58",,"52"
"JAM00047772","OSAKA, JA","2024-02-19","0.00","59",,"53"
"JAM00047772","OSAKA, JA","2024-02-20","0.33","55",,
"JAM00047772","OSAKA, JA","2024-02-21","0.02","49",,
"JAM00047772","OSAKA, JA","2024-02-22","0.63","45",,
"JAM00047772","OSAKA, JA","2024-02-23","0.30","43",,"40"
"JAM00047772","OSAKA, JA","2024-02-24","0.04","44",,
"JAM00047772","OSAKA, JA","2024-02-25","0.39","45",,"40"
"JAM00047772","OSAKA, JA","2024-02-26","0.12","44",,
"JAM00047772","OSAKA, JA","2024-02-27","0.00","44",,"39"
"JAM00047772","OSAKA, JA","2024-02-28","0.00","46",,
"JAM00047772","OSAKA, JA","2024-02-29","0.00","46",,"40"
"JAM00047772","OSAKA, JA","2024-03-01","0.71","46",,
"JAM00047772","OSAKA, JA","2024-03-02","0.00","40",,
"JAM00047772","OSAKA, JA","2024-03-03","0.00","46",,"33"
"JAM00047772","OSAKA, JA","2024-03-04","0.00","49",,"42"
"JAM00047772","OSAKA, JA","2024-03-05","0.30","44",,
"JAM00047772","OSAKA, JA","2024-03-06","0.71","46",,
"JAM00047772","OSAKA, JA","2024-03-07","0.00","45",,
"JAM00047772","OSAKA, JA","2024-03-08","0.00","45",,
"JAM00047772","OSAKA, JA","2024-03-09","0.00","41",,
"JAM00047772","OSAKA, JA","2024-03-10","0.00","42",,
"JAM00047772","OSAKA, JA","2024-03-11","0.00","51",,"35"
"JAM00047772","OSAKA, JA","2024-03-12","0.18","47",,
"JAM00047772","OSAKA, JA","2024-03-13","0.93","45",,
"JAM00047772","OSAKA, JA","2024-03-14","0.00","50",,"37"
"JAM00047772","OSAKA, JA","2024-03-15","0.00","53",,"43"
"JAM00047772","OSAKA, JA","2024-03-16","0.00","58",,"44"
"JAM00047772","OSAKA, JA","2024-03-17","0.00","52",,
"JAM00047772","OSAKA, JA","2024-03-18","0.22","45",,
"JAM00047772","OSAKA, JA","2024-03-19","0.00","50",,"39"
"JAM00047772","OSAKA, JA","2024-03-20","0.04","40",,
"JAM00047772","OSAKA, JA","2024-03-21","0.02","40",,"35"
"JAM00047772","OSAKA, JA","2024-03-22","0.00","47",,"35"
"JAM00047772","OSAKA, JA","2024-03-23","0.39","47",,"41"
"JAM00047772","OSAKA, JA","2024-03-24","0.51","52",,"47"
"JAM00047772","OSAKA, JA","2024-03-25","0.31","54",,"50"
"JAM00047772","OSAKA, JA","2024-03-26","1.34","51",,
"JAM00047772","OSAKA, JA","2024-03-27","0.00","53",,
"JAM00047772","OSAKA, JA","2024-04-01",,"51",,
"JAM00047772","OSAKA, JA","2024-04-02","0.00","62",,"49"
"JAM00047772","OSAKA, JA","2024-04-03","0.10","58",,
"JAM00047772","OSAKA, JA","2024-04-04","0.73","58",,
"JAM00047772","OSAKA, JA","2024-04-05","0.00","59",,"52"
"JAM00047772","OSAKA, JA","2024-04-06","0.00","63",,"53"
"JAM00047772","OSAKA, JA","2024-04-07","0.00","67",,"58"
"JAM00047772","OSAKA, JA","2024-04-08","0.00","64",,
"JAM00047772","OSAKA, JA","2024-04-09","2.54","52",,
"JAM00047772","OSAKA, JA","2024-04-10","0.00","58",,"44"
"JAM00047772","OSAKA, JA","2024-04-11","0.00","62",,"52"
"JAM00047772","OSAKA, JA","2024-04-12","0.00","65",,"55"
"JAM00047772","OSAKA, JA","2024-04-13","0.00","65",,"56"
"JAM00047772","OSAKA, JA","2024-04-14","0.00","66",,"57"
"JAM00047772","OSAKA, JA","2024-04-15","0.00","67",,"59"
"JAM00047772","OSAKA, JA","2024-04-16","0.00","67",,
"JAM00047772","OSAKA, JA","2024-04-17","0.87","67",,"61"
"JAM00047772","OSAKA, JA","2024-04-18","0.00","62",,
"JAM00047772","OSAKA, JA","2024-04-19","0.00","65",,"56"
"JAM00047772","OSAKA, JA","2024-04-20","0.00","70",,"56"
"JAM00047772","OSAKA, JA","2024-04-21","0.00","62",,
"JAM00047772","OSAKA, JA","2024-04-22","0.67","68",,"61"
"JAM00047772","OSAKA, JA","2024-04-23","0.30","65",,
"JAM00047772","OSAKA, JA","2024-04-24","0.28","65",,
"JAM00047772","OSAKA, JA","2024-04-25","0.16","66",,"58"
"JAM00047772","OSAKA, JA","2024-04-26","0.00","69",,"58"
"JAM00047772","OSAKA, JA","2024-04-27","0.00","66",,
"JAM00047772","OSAKA, JA","2024-04-28","0.00","71",,"61"
"JAM00047772","OSAKA, JA","2024-04-29","0.00","69",,
"JAM00047772","OSAKA, JA","2024-04-30","0.10","67",,
"JAM00047772","OSAKA, JA","2024-05-02","0.22","63",,"54"
"JAM00047772","OSAKA, JA","2024-05-03","0.00","67",,"55"
"JAM00047772","OSAKA, JA","2024-05-04","0.00","69",,"59"
"JAM00047772","OSAKA, JA","2024-05-05","0.00","70",,"61"
"JAM00047772","OSAKA, JA","2024-05-06","0.00","69",,
"JAM00047772","OSAKA, JA","2024-05-07","0.73","67",,
"JAM00047772","OSAKA, JA","2024-05-08","0.00","59",,
"JAM00047772","OSAKA, JA","2024-05-09","0.00","58",,
"JAM00047772","OSAKA, JA","2024-05-10","0.00","65",,"50"
"JAM00047772","OSAKA, JA","2024-05-11","0.00","72",,"57"
"JAM00047772","OSAKA, JA","2024-05-12","0.00","69",,
"JAM00047772","OSAKA, JA","2024-05-13","1.48","57",,
"JAM00047772","OSAKA, JA","2024-05-14","0.30","68",,"51"
"JAM00047772","OSAKA, JA","2024-05-15","0.00","70",,"61"
"JAM00047772","OSAKA, JA","2024-05-16","0.00","64",,
"JAM00047772","OSAKA, JA","2024-05-17","0.00","68",,"60"
"JAM00047772","OSAKA, JA","2024-05-18","0.00","74",,"60"
"JAM00047772","OSAKA, JA","2024-05-19","0.00","62",,
"JAM00047772","OSAKA, JA","2024-05-20","0.61","70",,"58"
"JAM00047772","OSAKA, JA","2024-05-21","0.00","67",,
"JAM00047772","OSAKA, JA","2024-05-22","0.00","70",,"58"
"JAM00047772","OSAKA, JA","2024-05-23","0.00","70",,
"JAM00047772","OSAKA, JA","2024-05-24","0.00","71",,
"JAM00047772","OSAKA, JA","2024-05-25","0.00","68",,
"JAM00047772","OSAKA, JA","2024-05-26","0.00","73",,"59"
"JAM00047772","OSAKA, JA","2024-05-27","0.16","74",,"65"
"JAM00047772","OSAKA, JA","2024-05-28","1.20","64",,
"JAM00047772","OSAKA, JA","2024-05-29","3.15","67",,
"JAM00047772","OSAKA, JA","2024-05-30","0.00","70",,"58"
"JAM00047772","OSAKA, JA","2024-05-31","0.10","64",,
"JAM00047772","OSAKA, JA","2024-06-01","0.08","72",,"60"
"JAM00047772","OSAKA, JA","2024-06-02","0.00","68",,
"JAM00047772","OSAKA, JA","2024-06-03","0.04","69",,"61"
"JAM00047772","OSAKA, JA","2024-06-04","0.00","69",,"61"
"JAM00047772","OSAKA, JA","2024-06-05","0.00","72",,"62"
"JAM00047772","OSAKA, JA","2024-06-06","0.00","72",,"64"
"JAM00047772","OSAKA, JA","2024-06-07","0.00","75",,
"JAM00047772","OSAKA, JA","2024-06-08","0.00","74",,"66"
"JAM00047772","OSAKA, JA","2024-06-09","0.08","68",,
"JAM00047772","OSAKA, JA","2024-06-10","0.43","75",,"64"
"JAM00047772","OSAKA, JA","2024-06-11","0.00","76",,"67"
"JAM00047772","OSAKA, JA","2024-06-12","0.00","78",,"70"
"JAM00047772","OSAKA, JA","2024-06-13","0.00","80",,
"JAM00047772","OSAKA, JA","2024-06-14","0.00","80",,"72"
"JAM00047772","OSAKA, JA","2024-06-15","0.00","77",,
"JAM00047772","OSAKA, JA","2024-06-16","0.08","78",,"69"
"JAM00047772","OSAKA, JA","2024-06-17","0.00","74",,
"JAM00047772","OSAKA, JA","2024-06-18","3.01","71",,"64"
"JAM00047772","OSAKA, JA","2024-06-19","0.41","80",,"66"
"JAM00047772","OSAKA, JA","2024-06-20","0.00","74",,
"JAM00047772","OSAKA, JA","2024-06-21","1.85","75",,"65"
"JAM00047772","OSAKA, JA","2024-06-22","0.00","76",,"70"
