"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS"
"USC00046027","MUIR WOODS, CA US","2021-01-01",,,"0.00",,,,,,
"USC00046027","MUIR WOODS, CA US","2021-01-02",,,"0.00",,,,,,
"USC00046027","MUIR WOODS, CA US","2021-01-03",,,"0.00",,,,,,
"USC00046027","MUIR WOODS, CA US","2021-01-04",,,"1.19",,,,,,
"USC00046027","MUIR WOODS, CA US","2021-01-05",,,"0.00",,,,,,
"USC00046027","MUIR WOODS, CA US","2021-01-07","    2","0.05",,,,,,,
"USC00046027","MUIR WOODS, CA US","2021-01-08",,,"0.00",,,,,,
"USC00046027","MUIR WOODS, CA US","2021-01-09",,,"0.10",,,,,,
"USC00046027","MUIR WOODS, CA US","2021-01-10",,,"0.00",,,,,,
"USC00046027","MUIR WOODS, CA US","2021-01-11",,,"0.00",,,,,,
"USC00046027","MUIR WOODS, CA US","2021-01-12",,,"0.00",,,,,,
"USC00046027","MUIR WOODS, CA US","2021-01-13",,,"0.00",,,,,,
"USC00046027","MUIR WOODS, CA US","2021-01-14",,,"0.00",,,,,,
"USC00046027","MUIR WOODS, CA US","2021-01-15",,,"0.00",,,,,,
"USC00046027","MUIR WOODS, CA US","2021-01-16",,,"0.00",,,,,,
"USC00046027","MUIR WOODS, CA US","2021-01-17",,,"0.00",,,,,,
"USC00046027","MUIR WOODS, CA US","2021-01-18",,,"0.00",,,,,,
"USC00046027","MUIR WOODS, CA US","2021-01-19",,,"0.00",,,,,,
"USC00046027","MUIR WOODS, CA US","2021-01-20",,,"0.00",,,,,,
"USC00046027","MUIR WOODS, CA US","2021-01-21",,,"0.00",,,,,,
"USC00046027","MUIR WOODS, CA US","2021-01-22",,,"0.16",,,,,,
"USC00046027","MUIR WOODS, CA US","2021-01-23",,,"0.00",,,,,,
"USC00046027","MUIR WOODS, CA US","2021-01-26","    3","1.58",,,,,,,
"USC00046027","MUIR WOODS, CA US","2021-01-27",,,"0.42",,,,,,
"USC00046027","MUIR WOODS, CA US","2021-01-28",,,"0.48",,,,,,
"USC00046027","MUIR WOODS, CA US","2021-01-29",,,"0.13",,,,,,
"USC00046027","MUIR WOODS, CA US","2021-01-30",,,"0.00",,,,,,
"USC00046027","MUIR WOODS, CA US","2021-02-01","    2","0.58",,,,,,,
