"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"JA000047662","TOKYO, JA","2024-01-01","0.00",,"45",,
"JA000047662","TOKYO, JA","2024-01-02","0.00",,"43",,"37"
"JA000047662","TOKYO, JA","2024-01-03","0.00",,"48",,"37"
"JA000047662","TOKYO, JA","2024-01-04","0.00",,"47",,
"JA000047662","TOKYO, JA","2024-01-05","0.00",,"46",,"37"
"JA000047662","TOKYO, JA","2024-01-06","0.00",,"50",,"37"
"JA000047662","TOKYO, JA","2024-01-07","0.00",,"45",,
"JA000047662","TOKYO, JA","2024-01-08","0.00",,"41",,
"JA000047662","TOKYO, JA","2024-01-09","0.00",,"42",,"35"
"JA000047662","TOKYO, JA","2024-01-10","0.00",,"46",,"35"
"JA000047662","TOKYO, JA","2024-01-11","0.00",,"39",,
"JA000047662","TOKYO, JA","2024-01-12","0.00",,"48",,"32"
"JA000047662","TOKYO, JA","2024-01-13","0.00",,"40","53",
"JA000047662","TOKYO, JA","2024-01-14","0.08",,"45",,"32"
"JA000047662","TOKYO, JA","2024-01-15","0.00",,"42",,
"JA000047662","TOKYO, JA","2024-01-16","0.00",,"39",,"32"
"JA000047662","TOKYO, JA","2024-01-17","0.00",,"45",,"33"
"JA000047662","TOKYO, JA","2024-01-18","0.00",,"50",,"36"
"JA000047662","TOKYO, JA","2024-01-19","0.00",,"49",,
"JA000047662","TOKYO, JA","2024-01-20","0.00",,"42",,
"JA000047662","TOKYO, JA","2024-01-21","1.14",,"49",,"40"
"JA000047662","TOKYO, JA","2024-01-22","0.20",,"51",,
"JA000047662","TOKYO, JA","2024-01-23","0.00",,"47",,
"JA000047662","TOKYO, JA","2024-01-24","0.00",,"38",,
"JA000047662","TOKYO, JA","2024-01-25","0.00",,"41",,"30"
"JA000047662","TOKYO, JA","2024-01-26","0.00",,"44",,"35"
"JA000047662","TOKYO, JA","2024-01-27","0.00",,"45",,"37"
"JA000047662","TOKYO, JA","2024-01-28","0.00",,"43",,"37"
"JA000047662","TOKYO, JA","2024-01-29","0.00",,"45",,"36"
"JA000047662","TOKYO, JA","2024-01-30","0.00",,"46",,
"JA000047662","TOKYO, JA","2024-01-31","0.00",,"51",,"37"
"JA000047662","TOKYO, JA","2024-02-01","0.00",,"47",,
"JA000047662","TOKYO, JA","2024-02-02","0.00",,"41",,"38"
"JA000047662","TOKYO, JA","2024-02-03","0.00",,"44",,
"JA000047662","TOKYO, JA","2024-02-04","0.16",,"41",,"37"
"JA000047662","TOKYO, JA","2024-02-05","0.04",,"36",,
"JA000047662","TOKYO, JA","2024-02-06","1.38","2.4","38",,
"JA000047662","TOKYO, JA","2024-02-07","0.08","1.2","41",,"32"
"JA000047662","TOKYO, JA","2024-02-08","0.00","0.4","43",,"34"
"JA000047662","TOKYO, JA","2024-02-09","0.00",,"44",,
"JA000047662","TOKYO, JA","2024-02-10","0.00",,"46",,"35"
"JA000047662","TOKYO, JA","2024-02-11","0.00",,"46",,
"JA000047662","TOKYO, JA","2024-02-12","0.00",,"45","55",
"JA000047662","TOKYO, JA","2024-02-13","0.00",,"51",,"35"
"JA000047662","TOKYO, JA","2024-02-14","0.00",,"53",,"40"
"JA000047662","TOKYO, JA","2024-02-15","0.00",,"61",,"43"
"JA000047662","TOKYO, JA","2024-02-16","0.00",,"47",,
"JA000047662","TOKYO, JA","2024-02-17","0.00",,"51",,"40"
"JA000047662","TOKYO, JA","2024-02-18","0.00",,"58",,"49"
"JA000047662","TOKYO, JA","2024-02-19","0.00",,"61",,"54"
"JA000047662","TOKYO, JA","2024-02-20","0.20",,"60",,
"JA000047662","TOKYO, JA","2024-02-21","0.00",,"45",,
"JA000047662","TOKYO, JA","2024-02-22","0.39",,"40",,
"JA000047662","TOKYO, JA","2024-02-23","0.26",,"37",,
"JA000047662","TOKYO, JA","2024-02-24","0.08",,"43",,"34"
"JA000047662","TOKYO, JA","2024-02-25","0.00",,"41",,"38"
"JA000047662","TOKYO, JA","2024-02-26","0.35",,"46",,"40"
"JA000047662","TOKYO, JA","2024-02-27","0.00",,"45",,"39"
"JA000047662","TOKYO, JA","2024-02-28","0.00",,"47",,
"JA000047662","TOKYO, JA","2024-02-29","0.00",,"46",,"38"
"JA000047662","TOKYO, JA","2024-03-01","0.77",,"51",,"39"
"JA000047662","TOKYO, JA","2024-03-02","0.00",,"42",,
"JA000047662","TOKYO, JA","2024-03-03","0.00",,"47",,"34"
"JA000047662","TOKYO, JA","2024-03-04","0.00",,"50",,"37"
"JA000047662","TOKYO, JA","2024-03-05","0.00",,"41",,
"JA000047662","TOKYO, JA","2024-03-06","1.16",,"44",,"36"
"JA000047662","TOKYO, JA","2024-03-07","0.02",,"42",,
"JA000047662","TOKYO, JA","2024-03-08","0.73","0.4","41",,"33"
"JA000047662","TOKYO, JA","2024-03-09","0.02",,"42",,
"JA000047662","TOKYO, JA","2024-03-10","0.00",,"44",,"33"
"JA000047662","TOKYO, JA","2024-03-11","0.00",,"49",,"35"
"JA000047662","TOKYO, JA","2024-03-12","0.02",,"47",,"43"
"JA000047662","TOKYO, JA","2024-03-13","1.40",,"47",,
"JA000047662","TOKYO, JA","2024-03-14","0.00",,"51",,"37"
"JA000047662","TOKYO, JA","2024-03-15","0.00",,"56",,"43"
"JA000047662","TOKYO, JA","2024-03-16","0.00",,"58",,"50"
"JA000047662","TOKYO, JA","2024-03-17","0.00",,"60",,
"JA000047662","TOKYO, JA","2024-03-18","0.00",,"46",,
"JA000047662","TOKYO, JA","2024-03-19","0.00",,"49",,"39"
"JA000047662","TOKYO, JA","2024-03-20","0.00",,"45",,
"JA000047662","TOKYO, JA","2024-03-21","0.04",,"43",,
"JA000047662","TOKYO, JA","2024-03-22","0.00",,"46",,"35"
"JA000047662","TOKYO, JA","2024-03-23","0.00",,"43",,"37"
"JA000047662","TOKYO, JA","2024-03-24","0.02",,"54",,"40"
"JA000047662","TOKYO, JA","2024-03-25","0.28",,"52",,
"JA000047662","TOKYO, JA","2024-03-26","0.30",,"48",,
"JA000047662","TOKYO, JA","2024-03-27","0.00",,"54",,
"JA000047662","TOKYO, JA","2024-04-01",,,"50",,
"JA000047662","TOKYO, JA","2024-04-02","0.00",,"61",,"47"
"JA000047662","TOKYO, JA","2024-04-03","0.00",,"56",,
"JA000047662","TOKYO, JA","2024-04-04","0.61",,"60",,
"JA000047662","TOKYO, JA","2024-04-05","0.02",,"51",,
"JA000047662","TOKYO, JA","2024-04-06","0.00",,"57",,"48"
"JA000047662","TOKYO, JA","2024-04-07","0.06",,"64",,"56"
"JA000047662","TOKYO, JA","2024-04-08","0.00",,"67",,"60"
"JA000047662","TOKYO, JA","2024-04-09","1.20",,"55",,
"JA000047662","TOKYO, JA","2024-04-10","0.98",,"54",,"45"
"JA000047662","TOKYO, JA","2024-04-11","0.00",,"60",,"46"
"JA000047662","TOKYO, JA","2024-04-12","0.00",,"59",,
"JA000047662","TOKYO, JA","2024-04-13","0.10",,"62",,"52"
"JA000047662","TOKYO, JA","2024-04-14","0.00",,"65",,"55"
"JA000047662","TOKYO, JA","2024-04-15","0.00",,"68",,"57"
"JA000047662","TOKYO, JA","2024-04-16","0.00",,"67",,"61"
"JA000047662","TOKYO, JA","2024-04-17","0.00",,"68",,"62"
"JA000047662","TOKYO, JA","2024-04-18","0.00",,"63",,
"JA000047662","TOKYO, JA","2024-04-19","0.06",,"64",,
"JA000047662","TOKYO, JA","2024-04-20","0.00",,"69",,"55"
"JA000047662","TOKYO, JA","2024-04-21","0.00",,"63",,
"JA000047662","TOKYO, JA","2024-04-22","0.45",,"61",,"56"
"JA000047662","TOKYO, JA","2024-04-23","0.02",,"62",,
"JA000047662","TOKYO, JA","2024-04-24","0.10",,"59",,
"JA000047662","TOKYO, JA","2024-04-25","0.73",,"68",,"57"
"JA000047662","TOKYO, JA","2024-04-26","0.00",,"69",,"59"
"JA000047662","TOKYO, JA","2024-04-27","0.00",,"66",,
"JA000047662","TOKYO, JA","2024-04-28","0.00",,"72",,"60"
"JA000047662","TOKYO, JA","2024-04-29","0.00",,"70",,"63"
"JA000047662","TOKYO, JA","2024-04-30","0.10",,"70",,"65"
"JA000047662","TOKYO, JA","2024-05-02","1.16",,"60",,"51"
"JA000047662","TOKYO, JA","2024-05-03","0.00",,"66",,"53"
"JA000047662","TOKYO, JA","2024-05-04","0.00",,"70",,"59"
"JA000047662","TOKYO, JA","2024-05-05","0.00",,"72",,"60"
"JA000047662","TOKYO, JA","2024-05-06","0.00",,"70",,"66"
"JA000047662","TOKYO, JA","2024-05-07","0.04",,"67",,
"JA000047662","TOKYO, JA","2024-05-08","0.00",,"59",,
"JA000047662","TOKYO, JA","2024-05-09","0.37",,"57",,
"JA000047662","TOKYO, JA","2024-05-10","0.00",,"66",,"48"
"JA000047662","TOKYO, JA","2024-05-11","0.00",,"70",,"57"
"JA000047662","TOKYO, JA","2024-05-12","0.00",,"71",,"63"
"JA000047662","TOKYO, JA","2024-05-13","1.52",,"63",,
"JA000047662","TOKYO, JA","2024-05-14","0.79",,"63",,"54"
"JA000047662","TOKYO, JA","2024-05-15","0.00",,"67",,"57"
"JA000047662","TOKYO, JA","2024-05-16","0.45",,"66",,
"JA000047662","TOKYO, JA","2024-05-17","0.00",,"70",,"56"
"JA000047662","TOKYO, JA","2024-05-18","0.00",,"72",,"61"
"JA000047662","TOKYO, JA","2024-05-19","0.00",,"67",,
"JA000047662","TOKYO, JA","2024-05-20","1.32",,"65",,"58"
"JA000047662","TOKYO, JA","2024-05-21","0.02",,"73",,"62"
"JA000047662","TOKYO, JA","2024-05-22","0.00",,"69",,"64"
"JA000047662","TOKYO, JA","2024-05-23","0.00",,"71",,"65"
"JA000047662","TOKYO, JA","2024-05-24","0.00",,"75",,"65"
"JA000047662","TOKYO, JA","2024-05-25","0.00",,"69",,
"JA000047662","TOKYO, JA","2024-05-26","0.00",,"72",,"64"
"JA000047662","TOKYO, JA","2024-05-27","0.00",,"74",,"69"
"JA000047662","TOKYO, JA","2024-05-28","0.10",,"74",,
"JA000047662","TOKYO, JA","2024-05-29","0.67",,"70",,
"JA000047662","TOKYO, JA","2024-05-30","0.00",,"72",,
"JA000047662","TOKYO, JA","2024-05-31","1.24",,"66",,"62"
"JA000047662","TOKYO, JA","2024-06-01","0.10",,"69",,
"JA000047662","TOKYO, JA","2024-06-02","0.04",,"65",,
"JA000047662","TOKYO, JA","2024-06-03","1.75",,"65",,
"JA000047662","TOKYO, JA","2024-06-04","1.00",,"68",,"59"
"JA000047662","TOKYO, JA","2024-06-05","0.00",,"72",,"62"
"JA000047662","TOKYO, JA","2024-06-06","0.00",,"72",,"65"
"JA000047662","TOKYO, JA","2024-06-07","0.00",,"71",,
"JA000047662","TOKYO, JA","2024-06-08","0.00",,"74",,"63"
"JA000047662","TOKYO, JA","2024-06-09","0.00",,"71",,
"JA000047662","TOKYO, JA","2024-06-10","0.69",,"71",,"63"
"JA000047662","TOKYO, JA","2024-06-11","0.00",,"76",,"67"
"JA000047662","TOKYO, JA","2024-06-12","0.00",,"77",,"68"
"JA000047662","TOKYO, JA","2024-06-13","0.00",,"72",,
"JA000047662","TOKYO, JA","2024-06-14","0.00",,"79",,"67"
"JA000047662","TOKYO, JA","2024-06-15","0.00",,"75",,
"JA000047662","TOKYO, JA","2024-06-16","0.24",,"77",,"67"
"JA000047662","TOKYO, JA","2024-06-17","0.00",,"76",,
"JA000047662","TOKYO, JA","2024-06-18","1.08",,"66",,
"JA000047662","TOKYO, JA","2024-06-19","2.78",,"76",,"63"
"JA000047662","TOKYO, JA","2024-06-20","0.00",,"76",,"69"
"JA000047662","TOKYO, JA","2024-06-21","0.02",,"66",,
"JA000047662","TOKYO, JA","2024-06-22","1.71",,"77",,"62"
"JA000047662","TOKYO, JA","2024-06-23","1.10",,"71",,"68"
"JA000047662","TOKYO, JA","2024-06-24","0.06",,"82",,"69"
"JA000047662","TOKYO, JA","2024-06-25","0.00",,"82",,"76"
"JA000047662","TOKYO, JA","2024-06-26","0.00",,"80",,
"JA000047662","TOKYO, JA","2024-06-27","0.00",,"76",,
"JA000047662","TOKYO, JA","2024-06-28","0.59",,"71",,
"JA000047662","TOKYO, JA","2024-06-29","2.66",,"76",,"69"
"JA000047662","TOKYO, JA","2024-06-30","0.00",,"80",,"72"
"JA000047662","TOKYO, JA","2024-07-01","0.47",,"79",,
"JA000047662","TOKYO, JA","2024-07-02","0.08",,"81",,"75"
"JA000047662","TOKYO, JA","2024-07-03","0.00",,"83",,"74"
"JA000047662","TOKYO, JA","2024-07-04","0.00",,"86",,"77"
"JA000047662","TOKYO, JA","2024-07-05","0.00",,"86",,
"JA000047662","TOKYO, JA","2024-07-06","0.00",,"81",,
"JA000047662","TOKYO, JA","2024-07-07","1.42",,"86",,"76"
"JA000047662","TOKYO, JA","2024-07-08","0.00",,"88",,"79"
"JA000047662","TOKYO, JA","2024-07-09","0.00",,"86",,"79"
"JA000047662","TOKYO, JA","2024-07-10","0.00",,"85",,"80"
"JA000047662","TOKYO, JA","2024-07-11","0.02",,"81",,
"JA000047662","TOKYO, JA","2024-07-12","0.02",,"74",,
"JA000047662","TOKYO, JA","2024-07-13","0.51",,"79",,"72"
"JA000047662","TOKYO, JA","2024-07-14","0.45",,"77",,"75"
"JA000047662","TOKYO, JA","2024-07-15","0.06",,"76",,
"JA000047662","TOKYO, JA","2024-07-16","0.00",,"75",,
"JA000047662","TOKYO, JA","2024-07-17","0.49",,"80",,"72"
"JA000047662","TOKYO, JA","2024-07-18","0.00",,"84",,"76"
"JA000047662","TOKYO, JA","2024-07-19","0.00",,"87",,"79"
"JA000047662","TOKYO, JA","2024-07-20",,,"83",,
"JA000047662","TOKYO, JA","2024-07-21","2.56",,"86",,"76"
"JA000047662","TOKYO, JA","2024-07-22","0.00",,"85",,
"JA000047662","TOKYO, JA","2024-07-23","0.37",,"87",,"76"
"JA000047662","TOKYO, JA","2024-07-24","0.00",,"86",,
